6949_4#17,6710_6#15,6630_4#9,6631_1#23,6823_5#12,6680_6#12,6680_4#19,6949_2#9,7038_4#12,7038_7#6,6823_2#8,6841_7#16,6630_1#9,6630_1#10,6736_5#13,6841_7#14,6949_4#10,6925_7#24,6755_4#17,6731_5#1,6805_5#15,6823_2#12,6736_6#3,6710_6#8
6949_4#17,0,9.81663667266545,9.76224755048987,8.91501699660066,11.2789442111577,10.1785642871425,10.4001199760047,14.2915416916617,13.6322735452909,13.6984603079384,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_6#15,9.81663667266545,0,7.2461507698461,6.39892021595672,10.1777644471107,9.0773845230954,9.29894021195764,13.1903619276142,12.5310937812435,12.5972805438913,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_4#9,9.76224755048987,7.2461507698461,0,4.69246150769848,10.123375324935,9.02299540091954,9.24455108978199,13.1359728054392,12.4767046590682,12.5428914217156,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6631_1#23,8.91501699660066,6.39892021595672,4.69246150769848,0,9.27614477104574,8.17576484703052,8.39732053589287,12.2887422515495,11.6294741051788,11.6956608678265,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_5#12,11.2789442111577,10.1777644471107,10.123375324935,9.27614477104574,0,5.42991401719668,5.65146970605876,9.54289142171551,9.82223555288941,9.88842231553691,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_6#12,10.1785642871425,9.0773845230954,9.02299540091954,8.17576484703052,5.42991401719668,0,2.83983203359336,6.73125374925034,8.72185562887421,8.78804239152169,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6680_4#19,10.4001199760047,9.29894021195764,9.24455108978199,8.39732053589287,5.65146970605876,2.83983203359336,0,4.6056788642272,8.94341131773646,9.00959808038392,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_2#9,14.2915416916617,13.1903619276142,13.1359728054392,12.2887422515495,9.54289142171551,6.73125374925034,4.6056788642272,0,12.8348330333934,12.9010197960406,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_4#12,13.6322735452909,12.5310937812435,12.4767046590682,11.6294741051788,9.82223555288941,8.72185562887421,8.94341131773646,12.8348330333934,0,10.6972605478902,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_7#6,13.6984603079384,12.5972805438913,12.5428914217156,11.6956608678265,9.88842231553691,8.78804239152169,9.00959808038392,12.9010197960406,10.6972605478902,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_2#8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.64907018596292,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6841_7#16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.64907018596292,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_1#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,3.55448910217956,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6630_1#10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,3.55448910217956,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_5#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,5.85522895420925,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6841_7#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.85522895420925,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_4#10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,5.50669866026797,Inf,Inf,Inf,Inf,Inf,Inf
6925_7#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.50669866026797,0,Inf,Inf,Inf,Inf,Inf,Inf
6755_4#17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.0781843631274,Inf,Inf,Inf,Inf
6731_5#1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.0781843631274,0,Inf,Inf,Inf,Inf
6805_5#15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.05698860227947,Inf,Inf
